Ｇさん（84 歳，女性）は，訪問介護（ホームヘルプサービス）を受けながら自宅で一人で生活していた。 2 か月前，在宅中に大雨による土砂崩れで自宅の半分が埋まってしまったので，介護老人保健施設に入所した。入所後のＧさんはイライラすることが多くなり，入眠障害が見られるようになった。また，夜間に突然覚醒し，大声で介護福祉職を呼ぶことがたびたびあった。現在のＧさんの状態を表す用語として，最も適切なものを 1 つ選びなさい。,4,退行,見当識障害,フラストレーション（frustration）,アルツハイマー型認知症（dementia	of	the	Alzheimer’s	type）,心的外傷後ストレス障害（posttraumatic	stress	disorder：ＰＴＳＤ）,正解:心的外傷後ストレス障害（posttraumatic	stress	disorder：ＰＴＳＤ）,あ
マズロー（Maslow、	A．H．）の欲求階層説における最上層の欲求を表現する発言として，適切なものを 1 つ選びなさい。,3,「おなかがすいたので食事をしたい」,「会社で上司から認められたい」,「心の中を打ち明けられる親友がほしい」,「平和な社会をつくりたい」,「家族の待つ家に帰りたい」,正解:「平和な社会をつくりたい」,あ
口腔の清潔が保てなくなる原因として，最も適切なものを 1 つ選びなさい。,1,過食,口内炎（stomatitis）,唾液の増加,歯垢の除去,咳反射の亢進,正解:口内炎（stomatitis）,い
「日常生活動作（Activities	of	Daily	Living：ＡＤＬ）」に分類されるものとして，正しいものを 1 つ選びなさい。（注）　「日常生活動作（Activities	of	Daily	Living：ＡＤＬ）」は，基本的ＡＤＬ（Basic Activities	of	Daily	Living：ＢＡＤＬ）と言われることがある。,4,買物,料理,洗濯,乗り物利用,入浴,正解:入浴,う
廃用症候群（disuse	syndrome）で起こる可能性のある病態とその対策の組合せとして，最も適切なものを 1 つ選びなさい。,2,筋萎縮ー日光浴,関節拘縮ー運動制限,深部静脈血栓症（deep	vein	thrombosis)ー離床,褥瘡ー安静,せん妄（delirium)ー入院,正解:深部静脈血栓症（deep	vein	thrombosis)ー離床,え
1 g 当たりのエネルギー発生量が最も多い栄養素として，正しいものを 1 つ選びなさい。,2,たんぱく質,糖質,脂質,ビタミン（vitamin）,無機質（ミネラル（mineral））,正解:脂質,お
脱水に伴う症状として，最も適切なものを 1 つ選びなさい。,1,浮腫,活動性の低下,低体温,多尿,皮膚の湿潤,正解:活動性の低下,か
38〜41度の湯温での入浴が身体に与える影響として，適切なものを 1 つ選びなさい。,3,血圧の上昇,心拍数の増加,膀胱の弛緩,消化機能の亢進,筋緊張の亢進,正解:消化機能の亢進,き
小腸の一部として，正しいものを 1 つ選びなさい。,1,盲腸,空腸,Ｓ状結腸,上行結腸,直腸,正解:空腸,く
尿意を感じて我慢できずに失禁してしまう排尿障害として，正しいものを 1 つ選びなさい。,0,切迫性尿失禁,腹圧性尿失禁,溢流性尿失禁,反射性尿失禁,完全尿失禁,正解:切迫性尿失禁,け
睡眠を促進するホルモン（hormone）として，正しいものを 1 つ選びなさい。,2,バソプレッシン（vasopressin）,エストロゲン（estrogen）,メラトニン（melatonin）,インスリン（insulin）,コルチゾール（cortisol）,正解:メラトニン（melatonin）,こ
Ｈさん（92 歳，女性）は，老衰が進行して寝たきり状態にある。ここ 1 か月間経口摂取はごく少量で著しくやせて，肺炎（pneumonia）も併発している。かかりつけの医師から家族に対して予後は 1 週間以内だろうという説明があり，このまま自宅で看取る方針が家族との間で合意された。介護福祉職がサービスを提供しているとき，Ｈさんが急変した場合に第一に相談すべき連絡先として，最も適切なものを 1 つ選びなさい。,0,かかりつけ医,警察,消防署,介護支援専門員（ケアマネジャー）,サービス提供責任者,正解:かかりつけ医,さ
