2013 年（平成 25 年）の「国民生活基礎調査」（厚生労働省）に関する次の記述のうち，2004 年（平成 16 年）と 2013 年（平成 25 年）の 65 歳以上の者のいる世帯について，正しいものを 1 つ選びなさい。,3,65 歳以上の者のいる世帯は，どちらも全世帯の 6 割を超えている。,「親と未婚の子のみの世帯」は，2013 年（平成 25 年）は 2004 年（平成 16 年）に比べて減少している。,「夫婦のみの世帯」は，2013 年（平成 25 年）は 2004 年（平成 16 年）に比べて減少している。,「単独世帯」は，2013 年（平成 25 年）は 2004 年（平成 16 年）に比べて増加している。,「三世代世帯」は，どちらも 65 歳以上の者のいる世帯の 3 割を超えている。,正解:「夫婦のみの世帯」は，2013 年（平成 25 年）は 2004 年（平成 16 年）に比べて減少している。,あ
社会福祉士及び介護福祉士法に基づいて，介護福祉士に課せられている誠実義務に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,0,常に担当する利用者の立場に立って業務を行う。,国民の保健医療の向上及び福祉の増進を図る。,利用者を心身共に健やかに育成する責任を負う。,利用者の心身の健康の保持のために必要な措置を講じる。,利用者が安心して暮らすことのできる地域社会の実現に寄与する。,正解:常に担当する利用者の立場に立って業務を行う。,い
Ｆさん（82 歳，男性）は，脳梗塞（cerebral	infarction）の後遺症による右片麻痺と運動性失語の状態で，介護老人福祉施設へ入所した。自分の意思は，顔の表情やうなずきなどの動作や左手を使って伝えることができる。 2 時間ほどは車いすで座位を保つことができる。食事の際は，自分でご飯やおかずをスプーンに乗せたり汁物を口に運ぶことは困難であるが，スプーンに乗った食べ物を左手で口まで運んで食べることはできる。食事場面における介護福祉職の対応として，最も適切なものを 1 つ選びなさい。,2,食事を居室のベッド上でとるように促す。,メニューの説明は不要である。,左手で食べたいものを示すように促す。,ご飯とおかずを混ぜてスプーンに乗せて口に運ぶ。,好みの食べ物は最後に食べるように促す。,正解:左手で食べたいものを示すように促す。,う
利用者の自己決定に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,3,支援者は，利用者の自己決定に対する働きかけを行ってはならない。,援助を受けている利用者は，自己決定を行うことができない。,判断能力が低い利用者の場合，家族の意向を優先して決定する。,利用者はエンパワメントアプローチ（empowerment	approach）をされることで，自己決定能力が高まる。,自己決定には，責任能力の有無が条件となる。,正解:利用者はエンパワメントアプローチ（empowerment	approach）をされることで，自己決定能力が高まる。,え
リハビリテーションの理念を表す用語として，最も適切なものを 1 つ選びなさい。,2,機能回復訓練,就労移行支援,全人間的復権,地域定着支援,特別支援教育,正解:全人間的復権,お
利用者がその人らしい生活を実現できるように，介護福祉職が把握すべき情報として，最も優先順位が高いものを 1 つ選びなさい。,4,利用者の所有する不動産の種類や価値,改訂長谷川式簡易知能評価スケールの得点,既往症,最近 1 年間の体重変化,これまでの生活環境と生活習慣,正解:これまでの生活環境と生活習慣,か
障害者の年金，手当，扶助に関する次の記述のうち，正しいものを 1 つ選びなさい。,0,障害基礎年金の障害等級は， 1 級と 2 級である。,障害基礎年金と老齢厚生年金は，併給できない。,障害基礎年金は，全額が生活保護の収入認定の対象外となる。,特別障害者手当は，市町村の条例によって実施される。,2013 年（平成 25 年）の生活保護基準の見直しに伴って，障害者加算が廃止された。,正解:障害基礎年金の障害等級は， 1 級と 2 級である。,き
通所介護（デイサービス）に関する次の記述のうち，正しいものを 1 つ選びなさい。,1,事業者による非常災害対策訓練の実施は，任意である。,事業者は，正当な理由なくサービスの提供を拒んではならない。,サービスの内容等を記載した通所介護計画の作成は，任意である。,短期入所生活介護と訪問介護（ホームヘルプサービス）を組み合わせなければならない。,日常生活の自立を助けるために，専門職による理学療法や作業療法を行わなければならない。,正解:事業者は，正当な理由なくサービスの提供を拒んではならない。,く
サービス担当者会議に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,1,サービス提供者の実践力の向上を主な目的とする。,利用者とその家族の参加を基本とする。,市町村社会福祉協議会が主催する。,市町村の会議室で開催することが望ましい。,利用者を匿名にして議論する。,正解:利用者とその家族の参加を基本とする。,け
介護老人福祉施設に入所後，すぐ退所したいと訴える利用者への介護福祉職の対応として，最も適切なものを 1 つ選びなさい。,3,精神安定を図るために，利用者に精神安定剤を服薬してもらう。,利用者の思いを最優先に考えて，退所の手続きをする。,利用者に退所を思い直してもらうために，家族には介護する意思がないと伝える。,利用者の今の思いを受け止めて，その発言の背景を確認する。,気分を変えてもらうために，利用者をテレビの前に案内する。,正解:利用者の今の思いを受け止めて，その発言の背景を確認する。,こ
