障害者の権利に関する条約で，国際条約上初めて取り上げられた概念として，正しいものを 1 つ選びなさい。,4,完全参加と平等,ノーマライゼーション（normalization）,障害の予防,共生社会,合理的配慮,正解:合理的配慮,あ
以下の疾患や状態のうち，図で示した装具を使用するものとして，正しいものを 1 つ選びなさい。,1,閉塞性動脈硬化症（arteriosclerosis	obliterans）,腓骨神経麻痺（peroneal	nerve	paralysis）,変形性膝関節症（knee	osteoarthritis）,パーキンソン病（Parkinson	disease）,下腿切断（lower	extremity	amputation）,正解:腓骨神経麻痺（peroneal	nerve	paralysis）,い
高次脳機能障害（higher	brain	dysfunction）の注意障害に関する次の記述のうち，正しいものを 1 つ選びなさい。,0,同時に 2 つ以上のことに気配りできない。,突然興奮したり，怒りだしたりする。,日常生活を計画して実行できない。,物の置き場所を忘れる。,1 つのことにこだわって他のことができない。,正解:同時に 2 つ以上のことに気配りできない。,う
ダウン症候群（Down’s	syndrome）の症状として，最も頻度の高いものを 1 つ選びなさい。,0,難聴,筋緊張の亢進,高次脳機能障害,片麻痺,腎障害,正解:難聴,え
自閉症スペクトラム障害（autism	spectrum	disorder）のある人への対応として，最も適切なものを 1 つ選びなさい。,2,こだわり行動に対しては，介入しない。,不適切な行動をとっているときは，強く制止する。,予定の変更があるときは，メモや絵を使って，予告する。,情報を伝えるときには，一度に多くの情報を提供する。,パニックを引き起こす事柄を克服できるような訓練をする。,正解:予定の変更があるときは，メモや絵を使って，予告する。,お
嚥下障害を引き起こす難病として，適切なものを 1 つ選びなさい。,2,潰瘍性大腸炎（ulcerative	colitis）,悪性関節リウマチ（malignant	rheumatoid	arthritis）,筋萎縮性側索硬化症（amyotrophic	lateral	sclerosis：ＡＬＳ）,クローン病（Crohn	disease）,広範 脊柱管狭 窄症（extended	spinal	stenosis）,正解:筋萎縮性側索硬化症（amyotrophic	lateral	sclerosis：ＡＬＳ）,か
すくみ足の症状が見られる疾患として，正しいものを 1 つ選びなさい。,0,パーキンソン病（Parkinson	disease）,脊髄小脳変性症（spinocerebellar	degeneration）,デュシェンヌ型筋ジストロフィー症（Duchenne	muscular	dystrophy）,脳性麻痺（cerebral	palsy）,脊髄損傷（spinal	cord	injury）,正解:パーキンソン病（Parkinson	disease）,き
呼吸機能障害のある人が日常生活で工夫すべきこととして，適切なものを1 つ選びなさい。,3,かぶり式の上着を着る。,湯船には肩までつかる。,食事の回数を減らす。,洋式便器を使用する。,すばやく歩く。,正解:洋式便器を使用する。,く
「障害者総合支援法」に基づく地域生活支援事業の内容として，適切なものを 1 つ選びなさい。（注）　「障害者総合支援法」とは，「障害者の日常生活及び社会生活を総合的に支援するための法律」のことである。,3,自己判断能力が制限されている人の行動を支援する。,常に介護が必要な人に，創作的活動の機会を提供する。,就労を希望する人に，必要な訓練を行う。,円滑に外出できるように，移動を支援する。,自立した日常生活ができるように，必要な訓練を行う。,正解:円滑に外出できるように，移動を支援する。,け
Ｆさん（47 歳，男性）は，重度の知的障害（障害支援区分 3 ）があり，母親の世話を受けながら自宅で暮らしている。母親が高齢になったこともあって，Ｆさんは，障害福祉サービスを利用して，介護福祉職と一緒に病院へ通院することになった。Ｆさんが利用する障害福祉サービスとして，正しいものを 1 つ選びなさい。,0,行動援護,同行援護,生活介護,療養介護,自立訓練,正解:行動援護,こ
